iso3,year,conflict_score,disaster_score,economic_score,health_shock,PEI,conflict_score_flag,disaster_score_flag,economic_score_flag,health_shock_flag,n_crises_above_threshold,is_polycrise_year,income_group,region,country_name
LBN,2011,,,0.2845615154087532,0.0,0.0711403788521883,0,0,0,1,1,0,LMIC,MENA,Lebanon
LBN,2012,,,0.2737486595659217,0.0,0.06843716489148043,0,0,0,1,1,0,LMIC,MENA,Lebanon
LBN,2013,,,0.2439116590820539,0.0,0.060977914770513474,0,0,0,1,1,0,LMIC,MENA,Lebanon
LBN,2014,,,0.1960839088559467,0.0,0.049020977213986676,0,0,0,1,1,0,LMIC,MENA,Lebanon
LBN,2015,,0.4770440083128305,0.1899138965868978,0.0,0.16673947622493207,0,0,0,1,1,0,LMIC,MENA,Lebanon
LBN,2016,0.4471207613879144,,0.1724635018519824,0.0,0.19960814194876564,0,0,0,1,1,0,LMIC,MENA,Lebanon
LBN,2017,0.4360219290562868,,0.3021025323485255,0.0,0.22813330825683176,0,0,0,1,1,0,LMIC,MENA,Lebanon
LBN,2018,0.3408612472357294,0.1435688694157519,0.3762991822378573,0.499999999875,0.3242684494271576,0,0,1,1,2,0,LMIC,MENA,Lebanon
LBN,2019,0.4985627873484383,0.2452884375660526,0.4365326485962925,0.0,0.3449522471125397,0,0,1,1,2,0,LMIC,MENA,Lebanon
LBN,2020,0.4872636032217779,0.0,0.8145332400242775,0.2499999999375,0.41167557112431663,0,0,1,1,2,0,LMIC,MENA,Lebanon
LBN,2021,0.4949637038940724,,0.5194435122970282,0.0,0.3030981744371824,0,0,1,1,2,0,LMIC,MENA,Lebanon
LBN,2022,0.4130392044317464,0.155201196659737,0.5368879790037746,0.0,0.31758601546698917,0,0,1,1,2,0,LMIC,MENA,Lebanon
LBN,2023,0.6027663381718948,0.4781687069017964,0.5792515924503452,0.2499999999375,0.5128232931888236,0,0,1,1,2,0,LMIC,MENA,Lebanon
LBN,2024,0.806098318473707,0.5333816992422917,0.59727503686669,,0.5647985954930429,1,0,1,0,2,0,LMIC,MENA,Lebanon
SDN,2010,0.5184263065703633,0.2954574537247912,0.3317904679038159,,0.33826118770677893,0,0,0,0,0,0,LIC,MENA,Sudan
SDN,2011,0.5962453840722158,0.1583845136428905,0.476712424447778,0.0,0.36746011894794267,0,0,1,1,2,0,LIC,MENA,Sudan
SDN,2012,0.5647739132578221,0.5396278448267391,0.7700224018974137,0.0,0.5250834313212759,0,0,1,1,2,0,LIC,MENA,Sudan
SDN,2013,0.6643086281162944,0.4961810487981033,0.4451048172619277,0.0,0.46782948635571076,0,0,1,1,2,0,LIC,MENA,Sudan
SDN,2014,0.6319753677226143,0.409165295198327,0.4291282463093507,0.0,0.43076476407983444,0,0,1,1,2,0,LIC,MENA,Sudan
SDN,2015,0.623677193336356,0.4656096851399145,0.3898436667795552,0.2499999999375,0.46965035563821694,0,0,1,1,2,0,LIC,MENA,Sudan
SDN,2016,0.630505215427302,0.3984594442215239,0.3891941629120438,0.0,0.4175902271829476,0,0,1,1,2,0,LIC,MENA,Sudan
SDN,2017,0.529637362112994,0.3802902968572595,0.494877470384214,0.0,0.40416501854991627,0,0,1,1,2,0,LIC,MENA,Sudan
SDN,2018,0.5106974392166683,0.3721392861194953,0.5973142867541721,0.0,0.42110749694425076,0,0,1,1,2,0,LIC,MENA,Sudan
SDN,2019,0.5098886205634936,0.4252039431435918,0.6073846467632493,0.0,0.43660816467393304,0,0,1,1,2,0,LIC,MENA,Sudan
SDN,2020,0.5081731739332709,0.65507132063501,0.7408754130291698,0.0,0.5268472942926897,0,0,1,1,2,0,LIC,MENA,Sudan
