iso3,year,n_disasters,total_deaths,total_affected,total_damage_kUSD,disaster_score
KEN,2013,4,128.0,115800.0,48476.0,0.5600185807536078
KEN,2014,2,72.0,1603459.0,0.0,0.5016099979622386
KEN,2015,3,138.0,245299.0,0.0,0.4070121612898056
KEN,2016,3,42.0,3411000.0,0.0,0.5405269118633587
KEN,2017,3,102.0,29420.0,0.0,0.30988341987274653
KEN,2018,3,134.0,211188.0,437229.0,0.6728148491726387
KEN,2019,3,116.0,2837186.0,0.0,0.5311369903101346
KEN,2020,2,285.0,5310655.0,315129.0,0.6636969696949555
KEN,2021,2,9.0,1652253.0,0.0,0.502958356001649
KEN,2022,1,202.0,12123.0,0.0,0.299372454451199
KEN,2023,3,214.0,857161.0,0.0,0.47022720377040356
KEN,2024,4,389.0,325680.0,0.0,0.4246916241154361
LBN,2015,3,5.0,1001692.0,0.0,0.47704400831283056
LBN,2018,1,15.0,0.0,0.0,0.1435688694157519
LBN,2019,1,3.0,11009.0,0.0,0.24528843756605268
LBN,2020,1,0.0,0.0,0.0,0.0
LBN,2022,1,11.0,803.0,0.0,0.15520119665973708
LBN,2023,1,0.0,1024200.0,0.0,0.4781687069017964
LBN,2024,1,0.0,2975000.0,0.0,0.5333816992422917
MEX,2010,7,111.0,1600307.0,10164963.0,0.8355488180731084
MEX,2011,12,125.0,3650602.0,833522.0,0.7081861555195075
MEX,2012,3,21.0,136011.0,1605376.0,0.7399439506555876
MEX,2013,5,223.0,172000.0,7678042.0,0.8209509238751406
MEX,2014,8,22.0,171516.0,3367632.0,0.7782885460331321
MEX,2015,4,42.0,21791.0,1091877.0,0.7199520677883035
MEX,2016,7,90.0,74500.0,98025.0,0.5955636499333147
MEX,2017,7,498.0,1460060.0,10624383.0,0.8378293255098154
MEX,2018,4,40.0,13124.0,679335.0,0.6953804633643669
MEX,2019,6,16.0,4842.0,469937.0,0.676292237858651
MEX,2020,8,82.0,123599.0,496936.0,0.6793149392954902
MEX,2021,10,65.0,37345.0,1238691.0,0.7264906618262893
MEX,2022,7,56.0,55041.0,81463.0,0.585925177605677
MEX,2023,2,95.0,988000.0,12353941.0,0.8456074518551082
MEX,2024,7,201.0,29617.0,2590000.0,0.7646764452984204
MMR,2010,2,305.0,261531.0,81999.0,0.5876927787608313
MMR,2011,2,225.0,57011.0,7391.0,0.4665679067466527
MMR,2012,2,40.0,86486.0,1599.0,0.4052415917200597
MMR,2013,1,7.0,73300.0,0.0,0.34217234285868026
MMR,2014,2,0.0,40000.0,0.0,0.3103764574014624
MMR,2015,4,175.0,1635703.0,157495.0,0.6248461822687039
MMR,2016,6,89.0,953335.0,21696.0,0.5360418907636816
MMR,2017,2,3.0,199520.0,0.0,0.3935655962482687
MMR,2018,3,35.0,173050.0,0.0,0.3871577925193516
MMR,2019,2,115.0,8075.0,0.0,0.27350658626190194
MMR,2020,1,0.0,25000.0,0.0,0.2861163738847842
MMR,2021,1,0.0,125000.0,0.0,0.3692902174595181
